search_id,date,source,status,query_or_action,limits,coverage,notes
Q021,2026-09-02,Web discovery,executed,"site:koreamed.org standardized patient Korea CPX case development",Korean or English; no date limit,Top-ranked results reviewed,"Located Korean medical licensing and SP-program history records"
Q022,2026-09-02,Web discovery,executed,"site:koreamed.org standardized patient history taking Korea",Korean or English; no date limit,Top-ranked results reviewed,"Located Korean CPX/SP evaluation studies"
Q023,2026-09-02,Web discovery,executed,"site:kci.go.kr 인공지능 표준화 환자",Korean; no date limit,Top-ranked results reviewed,"Confirmed CURA bibliographic metadata and 2025 publication year"
Q024,2026-09-02,Web discovery,executed,"site:kci.go.kr 표준화환자 대본",Korean; no date limit,Top-ranked results reviewed,"No directly validated Korean turn-level disclosure taxonomy located"
L001,2026-09-02,Local read-only corpus,executed,"rg for SP2B/SP2C disclosure modes and SP2D acceptance/over-disclosure reports",Accepted local artifacts only,Targeted report scan,"No local files modified; failed parser branch remains excluded"
DB001,2026-09-02,PubMed/MEDLINE,executed,"(""standardized patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract]) AND (""case development""[Title/Abstract] OR script[Title/Abstract] OR disclosure[Title/Abstract] OR ""role fidelity""[Title/Abstract]) AND (OSCE[Title/Abstract] OR CPX[Title/Abstract] OR ""history taking""[Title/Abstract])",No date limit,27 records,"Official E-utilities esearch; retmax 100; relevance sort; title screen recorded in pubmed-title-screen.csv"
DB002,2026-09-02,PubMed/MEDLINE,executed,"(""large language model""[Title/Abstract] OR ""generative AI""[Title/Abstract]) AND (""virtual patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract] OR ""simulated patient""[Title/Abstract]) AND (""history taking""[Title/Abstract] OR ""clinical interview""[Title/Abstract] OR OSCE[Title/Abstract]) AND (2020:3000[pdat])",2020 onward,31 records,"Official E-utilities esearch; retmax 100; relevance sort; title screen recorded in pubmed-title-screen.csv"
DB003,2026-09-02,KoreaMed/KCI/RISS,superseded_by_DB003a_to_DB003s,"(표준화환자 OR 가상환자 OR 인공지능 표준화 환자) AND (대본 OR 사례개발 OR 정보공개 OR 역할충실도 OR 문진)",Korean; no date limit,Original single planned query not run as written,"Superseded in G1.2 by database-native query families DB003a-DB003s; retained for provenance"
DB003a,2026-09-02,KoreaMed,executed,"표준화환자[ALL]",Korean term; no date limit,0 results,"Native query box; KoreaMed indexes English abstracts so Korean-script terms return zero"
DB003b,2026-09-02,KoreaMed,executed,"모의환자[ALL]",Korean term; no date limit,0 results,"Confirms Korean-script limitation is systematic not term-specific"
DB003c,2026-09-02,KoreaMed,executed,"가상환자[ALL]",Korean term; no date limit,0 results,"Same Korean-script limitation"
DB003d,2026-09-02,KoreaMed,executed,"진료수행시험[ALL]",Korean term; no date limit,0 results,"Same Korean-script limitation; English CPX phrasing required"
DB003e,2026-09-02,KoreaMed,executed,"standardized patient[ALL] AND Korea[ALL]",No date limit,681 results,"Too broad for screening; used only to establish corpus scale"
DB003f,2026-09-02,KoreaMed,executed,"standardized patient[ALL] AND (case development[ALL] OR script[ALL] OR scenario[ALL])",No date limit,53 results,"Case-authoring family; not fully screened this pass"
DB003g,2026-09-02,KoreaMed,executed,"standardized patient[ALL] AND (history taking[ALL] OR clinical performance examination[ALL])",No date limit,17 results,"All 17 title-screened from Summary display"
DB003h,2026-09-02,KoreaMed,executed,"clinical performance examination[ALL]",No date limit,342 results,"Scale reference only"
DB003i,2026-09-02,KoreaMed,executed,"objective structured clinical examination[ALL] AND standardized patient[ALL]",No date limit,18 results,"All 18 title-screened"
DB003j,2026-09-02,KoreaMed,executed,"simulated patient[ALL] AND training[ALL]",No date limit,17 results,"Training family; overlaps DB003g"
DB003k,2026-09-02,KoreaMed,executed,"virtual patient[ALL] AND (history taking[ALL] OR interview[ALL])",No date limit,3 results,"All 3 screened; located Korean LLM virtual-patient/assessor record"
DB003l,2026-09-02,KoreaMed,executed,"artificial intelligence[ALL] AND standardized patient[ALL]",No date limit,23 results,"Predominantly medical-imaging AI noise; AND is interpreted across whole records not topical scope"
DB003m,2026-09-02,KCI,executed,"표준화환자",Korean; no date limit,268 results,"Native portal search box; GET parameters are ignored so the query was entered in the interface"
DB003n,2026-09-02,KCI,executed,"진료수행시험 표준화환자",Korean; no date limit,9 results,"All 9 title-screened; four Korean SP-scoring-accuracy studies"
DB003o,2026-09-02,KCI,executed,"표준화환자 사례개발",Korean; no date limit,0 results,"KCI treats multiple terms as AND across fields; no Korean case-development record"
DB003p,2026-09-02,KCI,executed,"표준화환자 시나리오",Korean; no date limit,2 results,"Screened; nursing simulation scope"
DB003q,2026-09-02,KCI,executed,"인공지능 표준화환자",Korean; no date limit,1 result,"Single record is the already-included CURA system paper"
DB003r,2026-09-02,KCI,executed,"표준화환자 훈련",Korean; no date limit,4 results,"Screened; training rather than disclosure policy"
DB003s,2026-09-02,KCI,executed,"모의환자 문진 | 가상환자 문진 | 생성형 인공지능 표준화환자 | 대규모 언어모델 환자 시뮬레이션 | 임상수행평가 병력청취",Korean; no date limit,0 results each,"Five separate zero-yield queries recorded together; no Korean turn-level disclosure literature located"
DB004a,2026-09-02,RISS,executed,"주제어 표준화환자 (국내학술논문)",Korean; no date limit,42 results,"Public search without authentication; full text often requires institutional access"
DB004b,2026-09-02,RISS,executed,"진료수행시험 표준화환자 (국내학술논문)",Korean; no date limit,14 results,"Overlaps KCI DB003n"
DB004c,2026-09-02,RISS,executed,"표준화환자 사례 개발 (국내학술논문)",Korean; no date limit,33 results,"Loose term matching; low precision for case-authoring policy"
DB004d,2026-09-02,RISS,executed,"인공지능 표준화환자 (국내학술논문)",Korean; no date limit,21 results,"Loose matching; no additional Korean AI-SP disclosure study identified"
DB005a,2026-09-02,DBpia,executed,"표준화환자 (전체 필드)",Korean; no date limit,1981 results,"Public result count visible; article full text requires institutional or paid access and was not used"
CC001,2026-09-02,PubMed citation chasing,executed,"(""simulated participant""[Title/Abstract] OR ""simulated patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract]) AND template[Title/Abstract] AND (consensus[Title/Abstract] OR Delphi[Title/Abstract] OR ""scoping review""[Title/Abstract])",No date limit,2 records,"Official E-utilities esearch; located Peters 2026 role-script template and a simulated-patient reporting-checklist consensus study; PubMed reported the role-script phrase itself as not found"
CC002,2026-09-02,PubMed citation chasing,executed_false_negative,"(""Who Am I and Why Am I Here""[Title])",No date limit,0 records,"Retained as provenance. Superseded by CC005. The record exists as PMID 32649589 but its indexed title carries internal quotation marks so the bare quoted phrase did not match"
CC003,2026-09-02,PubMed citation chasing,executed_false_negative,"Davies[Author] AND (""simulated patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract]) AND 2021[pdat]",2021,0 records,"Retained as provenance. Superseded by CC005. Author-field and 2021 date filter both matched the record but its title/abstract uses ""simulated patients"" and ""SPs"" in a phrasing that the conjunction missed; PMID 32649589 is dated 2021 Jun 1"
CC004,2026-09-02,PubMed citation chasing,executed,"(""simulated patient""[Title/Abstract] OR ""standardised patient""[Title/Abstract] OR ""standardized patient""[Title/Abstract]) AND (""role portrayal""[Title/Abstract] OR ""role play""[Title/Abstract] OR portrayal[Title/Abstract]) AND (""scoping review""[Title/Abstract] OR review[Publication Type]) AND 2019:2023[pdat]",2019-2023,7 records,"All seven are education-effectiveness empathy peer-simulation or equity reviews. Retained as provenance; this family also missed PMID 32649589 because the review speaks of adopting roles rather than portrayal"
CC005,2026-09-02,PubMed identifier lookup,executed,"32649589[UID]",Identifier supplied by independent audit,1 record,"G1.2a correction. Official esummary and efetch confirmed Davies EL et al Simul Healthc 2021;16(3):190-198 DOI 10.1097/SIH.0000000000000470 publication types Journal Article and Scoping Review; abstract states 17 included articles"
