record_id,title,decision,reason,reviewer,status
KR-002,The Change of CPX Scores according to Repeated CPXs,include,"Korean CPX educational context; indirect to disclosure",Codex,seed
KR-003,Relationship between problem-based learning and clinical performance evaluations,include,"Korean CPX domains and context; indirect",Codex,seed
KR-004,진단·변증 스키마 기반 인공지능 표준화 환자 시스템 CURA 개발,include,"Recent Korean AI-SP implementation",Codex,seed
KR-005,한의학 교육에서 내상발열 증례를 이용한 표준화환자 프로그램 개발,include,"Korean case-development example",Codex,seed
KR-006,Introduction of a clinical skill test in the Korean Medical Licensing Examination,include,"National Korean CPX implementation and systematically trained SP context",Codex,koreamed_seed
KR-007,Changes in medical education evaluation in Korea,include,"Documents Korean regional CPX consortium case development and SP training",Codex,koreamed_seed
KR-008,Validity and Reliability of a Clinical Performance Examination using Standardized Patients,include,"Korean scenario and checklist development with SP-based evaluation",Codex,koreamed_seed
LOC-001,CPX_source project baseline,include,"Controls accepted and invalidated local evidence",Codex,seed
LOC-002,CPX_source SP2B behavior and disclosure contract,include,"Accepted local one-case policy evidence",Codex,seed
LOC-003,CPX_source SP2C Korean realization,include,"Accepted local Korean utterance asset evidence",Codex,seed
LOC-004,CPX_source SP2D.3 architecture comparison,include,"All deterministic parser candidates rejected",Codex,seed
LOC-005,CPX_source SP2D.6 acceptance,include,"Human adjudication still required",Codex,seed
HSP-014,Virtual Standardized Patient Simulation Case Development and Pilot Application to High-Value Care,include,"Natural-language VSP case development and faculty-rated response appropriateness",Codex,pubmed_title_abstract
LLM-011,A GPT-Powered Chatbot as a Simulated Patient to Practice History Taking,include,"Explicit script coverage and fictitious-information measurements",Codex,pubmed_title_abstract
LLM-012,Enhancing Medical Interview Skills Through AI-Simulated Patient Interactions,include,"Controlled learner outcome study with AI simulated patients",Codex,pubmed_title_abstract
LLM-013,ECOSBot multicenter validation pilot study,include,"Multicenter expert-rated authenticity correctness relevance and script coverage",Codex,pubmed_title_abstract
LLM-014,Development and Validation of an LLM-Based Medical History-Taking System,include,"Multicase evaluation stability human-AI consistency and transparency",Codex,pubmed_title_abstract
LLM-015,Feasibility of generative AI for history taking in virtual patients,include,"Korean-platform expert review including hallucination and missing information",Codex,pubmed_title_abstract
LLM-016,GenAI-Supported Virtual Patients in Health Care Education Systematic Review,include,"Two-reviewer systematic review of 15 studies and design gaps",Codex,pubmed_title_abstract
LLM-017,AI-powered simulated patients for headache history-taking,include,"Repeated practice outcomes plus learner-reported robotic dialogue limits",Codex,pubmed_title_abstract
LLM-018,Virtual standardized patient system for psychiatric interview training,include,"Expert and modified-Delphi case-script development plus preliminary RCT",Codex,pubmed_title_abstract
HSP-015,Development of a standardized role script template for simulated participant scenarios,include,"Multi-step Delphi consensus role-script template directly relevant to opening and disclosure authoring",Codex,g1.2_pubmed_abstract
KR-009,Clinical performance of medical students in a whole-task emergency OSCE station with a standardized patient complaining of palpitations,include,"Korean palpitations station with checklist-level history education and examination performance data",Codex,g1.2_koreamed_abstract
KR-010,Metaverse-based objective structured clinical examinations,include,"Korean LLM virtual-patient interviewing feasibility with explicit physical-examination channel limits",Codex,g1.2_koreamed_abstract
KR-011,Accuracy of standardized patient scoring in clinical performance examination,supplemental,"Korean SP scoring accuracy relevant to standardization but not turn-level disclosure; full text pending",Codex,g1.2_kci_metadata
KR-012,Accuracy of faculty and standardized patient scoring in CPX using standardized patients,supplemental,"Korean SP portrayal and scoring consistency; requires Korean full-text appraisal",Codex,g1.2_kci_metadata
EX-009,Checklist for reporting research using simulated patient methodology CRiSP,exclude,"Reporting-quality checklist for SP research rather than patient disclosure behavior",Codex,g1.2_pubmed_abstract
EX-010,Korean nursing and pharmacy SP simulation satisfaction and self-efficacy studies,exclude,"Learner-affect outcomes without patient-role disclosure evidence",Codex,g1.2_kci_riss_screen
EX-011,KoreaMed medical-imaging and clinical AI records retrieved by broad AI queries,exclude,"Diagnostic imaging or clinical AI scope with no simulated-patient role",Codex,g1.2_koreamed_screen
EX-001,Current applications and challenges in LLMs for patient care systematic review,exclude,"Patient-care assistant scope rather than simulated-patient role",Codex,seed
EX-002,Virtual patient Wikipedia article,exclude,"Tertiary source; use cited primary literature instead",Codex,seed
EX-003,OSCE advice social-media threads,exclude,"Anecdotal and potentially examination-sensitive",Codex,seed
EX-004,Commercial OSCE preparation pages,exclude,"Marketing or learner advice; no suitable methods",Codex,seed
EX-005,The Atlantic standardized-patient feature,exclude,"Journalistic context only; not design evidence",Codex,seed
EX-006,AHRQ health-literacy role-playing ideas,exclude,"Clinician communication activity; not patient-role disclosure",Codex,seed
EX-007,General diagnostic benchmark papers with complete vignettes,exclude,"No interactive patient information-elicitation task",Codex,seed
EX-008,Unverified local or recalled examination scripts,exclude,"Rights and examination-integrity boundary",Codex,seed
