record_id,stream,year,source_type,title,url_or_path,directness,key_extraction,design_implication,limitations
HSP-015,Human SP,2026,Multi-step consensus practice guideline,Development of a standardized role script template for simulated participant scenarios in the German-speaking countries,https://doi.org/10.3205/zma001812,high,"A 19-member working group ran a Delphi-based process over 10 rounds with a systematic literature review a 24-member interprofessional expert panel and 11 reviews by experienced simulated participants and produced a modular 13-category interprofessional role script template because institution-specific scripts were not interchangeable","A CPX v5 case policy should be a reviewable modular script artifact validated by SP-methodology experts rather than a locally invented field set; template usability itself is still pending evaluation","German-speaking interprofessional context; the template's usability and ongoing development are explicitly stated as future work; abstract-level appraisal and no turn-level disclosure algorithm"
HSP-016,Human SP,2021,Scoping review,Who Am I and Why Am I Here A Scoping Review Exploring the Templates and Protocols That Direct Actors in Their Roles as Simulated Standardized Patients,https://doi.org/10.1097/SIH.0000000000000470,high,"A PRISMA-ScR-guided search of Embase Classic plus Embase ProQuest ERIC Ovid MEDLINE Ovid EMCare psycINFO and Scopus included 17 articles describing templates or protocols intended to let simulated patients adopt roles accurately and consistently; the located templates differed in structure length and depth across medical nursing allied health and veterinary disciplines and reporting quality was appraised with the Simulation Research Rubric","Confirms that an explicit role template or protocol is the established mechanism for accurate and consistent SP portrayal while also confirming that no single template structure is standardized; CPX v5 must author its own reviewable template and justify its structure rather than cite an existing standard","Scoping review reporting heterogeneity rather than prescribing one template; does not define turn-level disclosure timing; abstract-level appraisal with full text pending lawful access"
VP-001,Classical VP,2006,Randomized trial,A Randomized Trial of Teaching Clinical Skills Using Virtual and Live Standardized Patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC1484797/,medium,"Virtual and live SP performance outcomes were similar in the studied setting; standardized exposure was a benefit","Virtual patients can support repeatable practice if interaction and content exposure are controlled","Older constrained virtual-patient technology; not free-form LLM dialogue"
VP-002,Classical VP,2009,Critical review,Virtual patients a critical literature review and proposed next steps,https://doi.org/10.1111/j.1365-2923.2008.03286.x,medium,"Virtual patients vary substantially in design and require theory-driven comparisons and clear outcomes","Document intended learner task fidelity target and system design rather than treating all VPs as equivalent","Predates modern LLMs"
VP-003,Classical VP,2019,Systematic review and meta-analysis,Virtual Patient Simulations in Health Professions Education,https://pmc.ncbi.nlm.nih.gov/articles/PMC6632099/,medium,"Virtual-patient effectiveness is context-dependent and studies use varied comparators and outcomes","Do not infer disclosure validity from usability or knowledge gains alone","Heterogeneous interventions; limited dialogue-specific analysis"
VP-004,Classical VP,2022,Systematic review,Effectiveness of virtual patient tools to improve medical students clinical reasoning,https://pmc.ncbi.nlm.nih.gov/articles/PMC9098350/,medium,"Scaffolding debriefing reflection and human feedback can improve VP learning effectiveness","Pair simulation with review and evidence-linked feedback; evaluate transfer separately","Clinical reasoning focus rather than patient-role fidelity"
VP-005,Classical VP,2021,Literature review preprint,Training Medical Communication Skills with Virtual Patients,https://arxiv.org/abs/2104.00316,low,"Virtual-patient communication training requires attention to interaction design realism and feedback","Use for hypothesis generation and citation chasing","Preprint and broad review; peer-review status must be checked"
LLM-001,LLM VP,2024,Prospective study,A Language Model-Powered Simulated Patient With Automated Feedback for History Taking,https://pubmed.ncbi.nlm.nih.gov/39150749/,medium,"LLM patient plus structured feedback is feasible for history-taking education","Separate patient portrayal from assessment and validate both against human review","Prospective but limited setting and model generation"
LLM-002,LLM VP,2025,Controlled educational study,A large language model digital patient system enhances ophthalmology history taking skills,https://pmc.ncbi.nlm.nih.gov/articles/PMC12322286/,medium,"LLM digital-patient training improved measured history-taking performance in the reported setting","Educational outcome testing is possible after fidelity is established","Specialty-specific; outcome improvement does not prove disclosure correctness"
LLM-003,LLM VP,2025,Scoping review,Embracing the Future of Medical Education With Large Language Model-Based Virtual Patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC12661241/,medium,"The field is emerging with variable designs and limited standardized validation","Retain explicit evidence gaps and avoid high-stakes claims","Rapidly changing evidence base and heterogeneous studies"
LLM-004,LLM VP,2026,Systematic review,Large Language Model-Based Virtual Patient Systems for History-Taking in Medical Education,https://pmc.ncbi.nlm.nih.gov/articles/PMC12811743/,high,"Studies use dialogue history and few-shot prompts for gradual disclosure; common metrics include information coverage hallucination fidelity and usability","Adopt multi-dimensional turn-level metrics and provider comparison; do not rely on one aggregate score","Included evidence varies in quality; limited multimorbidity and specialty coverage"
LLM-005,LLM VP,2026,Controlled robustness study,Robustness of a Large Language Model-Based Virtual Patient Under Instructional Contamination,https://pmc.ncbi.nlm.nih.gov/articles/PMC13278464/,high,"Premature disclosure hidden results role drift and contradictions threaten validity; forbidden leakage persisted even in clean or defended conditions","Use forbidden-information tests prompt-injection tests and explicit claim that prompt constraints are insufficient alone","Synthetic fixed trajectories; does not establish educational effectiveness or deployment safety"
LLM-006,LLM VP,2026,Mixed-methods feasibility study,Feasibility of Large Language Model-Based Standardized Virtual Patients in Operative Dentistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC13186527/,high,"Authenticity failures included taking the lead after a greeting and stating examination-only findings the patient could not know","Test greeting behavior and epistemic access separately; action-gate examination findings","Small feasibility sample and dentistry context"
LLM-007,LLM VP,2025,Conference paper,Automated Evaluation of Standardized Patients with LLMs,https://aclanthology.org/2025.aimecon-main.25/,medium,"Reliability and precision of LLM portrayals require systematic evaluation","Use automated evaluation only with human-calibrated rubrics and evidence-linked errors","Automated judges may share model biases; conference setting"
LLM-008,LLM VP,2025,Comparative preprint,Human or LLM as Standardized Patients A Comparative Study for Medical Education,https://arxiv.org/abs/2511.14783,low,"Proposes multi-agent factual consistency and expert-defined evaluation dimensions","Consider independent consistency checks only after baseline prompt design is evaluated","Preprint; architecture should not be adopted without replication"
LLM-009,LLM VP,2026,Observational study,Voluntary use of LLM-powered virtual standardized patients and medical students interview performance,https://pubmed.ncbi.nlm.nih.gov/42322138/,medium,"Links optional VSP engagement with traditional SP assessment in an established curriculum","Evaluate learner transfer to human-SP outcomes rather than simulator scores only","Observational association; recent online-ahead publication"
LLM-010,LLM VP,2025,System preprint,MedSimAI Simulation and Formative Feedback Generation,https://arxiv.org/abs/2503.05793,low,"Frames LLM simulation as deliberate practice with structured feedback","Potential evaluation design reference; not disclosure authority","Preprint; system-specific and not direct staged-disclosure evidence"
KR-001,Korean CPX,2011,Empirical implementation study,Clinical Performance Examination Utilizing Standardized Patients in Board Examination,https://pmc.ncbi.nlm.nih.gov/articles/PMC8814499/,medium,"Korean high-stakes CPX used scenario training standard videos and assessor calibration","Korean deployment needs role training equivalence and inter-rater review","Specialty board context; limited turn-level disclosure detail"
KR-002,Korean CPX,2011,Longitudinal educational study,The Change of CPX Scores according to Repeated CPXs,https://pmc.ncbi.nlm.nih.gov/articles/PMC8813529/,low,"Korean CPX assesses history communication education and integration across repeated encounters","Supports CPX relevance and repeated practice but not a disclosure taxonomy","Indirect to patient behavior design"
KR-003,Korean CPX,2015,Correlational study,The relationship between problem-based learning and clinical performance evaluations,https://pmc.ncbi.nlm.nih.gov/articles/PMC8813418/,low,"Korean CPX domains include history physical examination information sharing and patient-physician interaction","Ensure patient behavior does not collapse distinct scored domains","Correlational educational study; indirect to staged disclosure"
KR-004,Korean AI SP,2025,System development article,진단·변증 스키마 기반 인공지능 표준화 환자 시스템 CURA 개발,https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART003260544,medium,"Korean AI standardized-patient system uses CPX-derived data and a clinical workflow schema","Extract Korean workflow and dialogue-design lessons after full-text appraisal","Korean-medicine context; recent source and full methods still require appraisal"
KR-005,Korean SP,2020,Case-development study,한의학 교육에서 내상발열 증례를 이용한 표준화환자 프로그램 개발 연구,https://journal.kci.go.kr/jkmc/archive/articlePdf?artiId=ART002648080,medium,"Demonstrates Korean SP program development with structured history symptoms and physical findings","Useful local case-authoring example and terminology source","Korean-medicine context; not LLM and not specifically disclosure timing"
KR-006,Korean CPX,2010,National implementation report,Introduction of a clinical skill test in the Korean Medical Licensing Examination,https://synapse.koreamed.org/upload/synapsexml/0144jeehp/pdf/jeehp-7-4.pdf,medium,"The national clinical skill test combined six CPX and six OSCE stations and used systematically trained SPs in repeated daily cycles","Korean AI-SP pilots should preserve repeated-candidate standardization and separate interview from examination domains","Implementation report; does not expose case scripts or turn-level disclosure rules"
KR-007,Korean CPX,2005,Historical review,Changes in the evaluation system in medical education in Korea,https://synapse.koreamed.org/articles/1148818,medium,"Regional Korean CPX consortia jointly developed cases and recruited and trained SPs; predetermined standardized behavior underpinned objective assessment","Use consortium-style clinical and SP-methodology governance for case approval","Historical overview; disclosure timing is not operationalized"
KR-008,Korean SP,2008,Validity and reliability study,Validity and Reliability of a Clinical Performance Examination using Standardized Patients,https://synapse.koreamed.org/upload/SynapseData/PDFData/1006jkan/jkan-38-83.pdf,low,"A Korean nursing CPX developed scenarios and checklists and evaluated validity and reliability with 70 students","Useful local precedent for scenario-checklist co-development and psychometric review","Nursing context and indirect to conversational disclosure"
KR-009,Korean CPX,2020,Cross-sectional performance study,Clinical performance of medical students in Korea in a whole-task emergency OSCE station with a standardized patient complaining of palpitations,https://doi.org/10.3352/jeehp.2020.17.42,medium,"In a Korean palpitations station 150 third-year students were scored on separate history-taking physical-examination electrocardiography education and clinical-reasoning checklist items; only 18.0% checked the pulse and 38.0% never attempted an electrocardiogram","The palpitations pilot should keep history examination investigation and education as separately observable learner actions rather than one narrative disclosure stream","Single Korean site and cohort; reports learner performance not patient disclosure behavior; abstract-level appraisal"
KR-010,Korean AI SP,2026,Development and feasibility study,Metaverse-based objective structured clinical examinations an exploratory approach to advancing clinical competency assessment,https://doi.org/10.3946/kjme.2025.151,medium,"Korean developers integrated large language models into metaverse virtual patients for interactive history-taking while physical-examination modules were limited by absent tactile and haptic feedback","Supports treating interviewing and examination as different capability channels in Korean assessment contexts","Exploratory development study without learner outcome or fidelity measurement; abstract-level appraisal"
LOC-001,Local corpus,2026,Read-only project baseline,CPX_source project baseline,local://CPX_SOURCE_ROOT/PROJECT_BASELINE_20260825.md,high,"SP2B and SP2C passed for one palpitations station; SP2D.6 remains human-input-required","Reuse accepted policy concepts cautiously; do not resume parser work implicitly","Internal evidence; one case and not external validation"
LOC-002,Local corpus,2026,Accepted local artifact,SP2B behavior and disclosure contract,local://CPX_SOURCE_ROOT/SP_Corpus/phase_sp2b/run_20260820T060913Z/reports/sp2b_summary.md,high,"Forty-five policies used ask-only conditional not-disclosable spontaneous-core and open-prompted modes with truth and diagnosis firewalls","Use as a candidate authoring vocabulary after external evidence mapping; revise opening semantics","One palpitations case; internally designed taxonomy"
LOC-003,Local corpus,2026,Accepted local artifact,SP2C Korean utterance realization,local://CPX_SOURCE_ROOT/SP_Corpus/phase_sp2c/run_20260820T070117Z/reports/korean_utterance_review.md,medium,"Korean utterance variants were reviewed against disclosure modes","Candidate language assets can support pilots after policy revalidation","Language set inherits SP2B opening assumptions and covers one case"
LOC-004,Local corpus,2026,Invalidated engineering experiment,SP2D.3 architecture comparison,local://CPX_SOURCE_ROOT/SP_Corpus/phase_sp2d_3/run_20260820T152624Z/reports/architecture_comparison.md,high,"Parser systems either over-disclosed or abstained on nearly all answerable questions; no production candidate","Do not import deterministic semantic router into the first v5 design","Internal benchmark scope; still decisive against reusing the failed branch"
LOC-005,Local corpus,2026,Unfinished human-review gate,SP2D.6 acceptance,local://CPX_SOURCE_ROOT/SP_Corpus/phase_sp2d_6/run_20260821T021046Z/reports/sp2d_6_acceptance.md,high,"All 31 adjudication rows require genuine human review before parser evaluation or SP2E","Keep parser branch frozen; disclosure prompt work may proceed independently","Unresolved by design; not evidence that the schema is valid"
HSP-014,Classical VP,2019,Case-development pilot,Virtual Standardized Patient Simulation Case Development and Pilot Application to High-Value Care,https://pubmed.ncbi.nlm.nih.gov/31116172/,high,"Faculty consensus created eight cases and faculty reviewed 112 transcripts containing 4646 query-response pairs; mean avatar appropriate-response rate was 85.6%","Use transcript-level expert ratings and report response appropriateness rather than assuming a case prompt is valid","Fourteen learners; NLP avatar predates modern LLMs; preliminary pilot"
LLM-011,LLM VP,2024,Prospective mixed-methods study,A GPT-Powered Chatbot as a Simulated Patient to Practice History Taking,https://pubmed.ncbi.nlm.nih.gov/38227363/,high,"Of 502 questions explicitly covered by the script 94.4% of answers used explicit script information; for 195 uncovered questions 56.4% of answers used fictitious information","Explicitly test uncovered questions and unknown behavior; plausibility alone cannot detect invented facts","Twenty-eight students; GPT-3.5; one illness script and positive usability despite factual boundary failures"
LLM-012,LLM VP,2024,Nonrandomized controlled trial,Enhancing Medical Interview Skills Through AI-Simulated Patient Interactions,https://pubmed.ncbi.nlm.nih.gov/39312284/,medium,"AI-simulated patient practice was associated with a one-point higher mean Japanese pre-clerkship OSCE interview score and was framed as supplementary","Measure transfer to standardized assessments but retain human simulation for nonverbal skills","Historical control; nonrandomized; educational effect does not prove disclosure fidelity"
LLM-013,LLM VP,2025,Multicenter prospective validation,ECOSBot a multicenter validation pilot study,https://pubmed.ncbi.nlm.nih.gov/41133180/,medium,"Across 184 sessions faculty ratings reported high authenticity correctness relevance and script coverage; communication-skill scoring agreement was weaker","Use expert double-rating across institutions and keep patient fidelity separate from automated scoring validity","Nephrology focus; one GPT model; abstract-level appraisal"
LLM-014,LLM VP,2025,Prospective multicase validation,Development and Validation of an LLM-Based Medical History-Taking Training System,https://pubmed.ncbi.nlm.nih.gov/40882613/,medium,"Three cases and 8606 learner questions were used to assess dialogue accuracy evaluation stability human-AI consistency and cross-model generalization","Run multiple case difficulties many turns repeated scoring and cross-provider validation","Study reports aggregate accuracy; disclosure-specific error definitions require full-text appraisal"
LLM-015,LLM VP,2025,Expert feasibility study,Feasibility of generative AI for history taking in virtual patients,https://pubmed.ncbi.nlm.nih.gov/39994780/,high,"Five experts reviewed 96 Korean-platform question-answer pairs; 2.6% of words were implausible due to inarticulate answers hallucinations or missing important information","Include Korean expert transcript review and track hallucination omission relevance accuracy succinctness and fluency separately","One urinary case; five reviewers; Korean AI platform rather than current providers"
LLM-016,LLM VP,2026,Systematic review,GenAI-Supported Virtual Patients in Health Care Education,https://pubmed.ncbi.nlm.nih.gov/42098926/,high,"Two reviewers found 15 studies with 645 participants; evidence was heterogeneous short-duration and weakly grounded in educational theory despite promising outcomes","Keep theory design protocol and long-term validation gaps explicit; do not generalize from feasibility","English peer-reviewed quantitative or mixed-method studies only; no meta-analysis"
LLM-017,LLM VP,2026,Convergent mixed-methods study,AI-powered simulated patients with automated feedback for headache history-taking,https://pubmed.ncbi.nlm.nih.gov/42174548/,medium,"Twenty-five students improved OSCE and reasoning scores after repeated practice but described dialogue as sometimes robotic and limited for communication practice","Include naturalness and communication authenticity alongside knowledge elicitation and score outcomes","Pre-post design without a contemporaneous control; three headache cases"
LLM-018,LLM VP,2026,Development study and preliminary RCT,Virtual standardized patient system for psychiatric interview training,https://pubmed.ncbi.nlm.nih.gov/41721322/,medium,"Experienced psychiatrist scripts were refined by modified Delphi before three cases were implemented; expert evaluation reported consistency and a 20-student RCT found improved interview scores","Require multidisciplinary script consensus before model implementation and preserve human-defined cases","Small preliminary RCT; psychiatry and ERNIE model context"
