scored_unit_id,case,execution_unit_id,planned_evidence_call_ids,authoritative_run_ids,disposition,failure_class,responsible_layer,critical_required_omissions,ordinary_required_omissions,ambiguity_trigger,evidence_excerpt,scorer_id,scoring_spec_sha256,input_bundle_id,scored_at_utc
J18,jaundice,J-SEQ-04,"[""CALL-J18""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J19,jaundice,J-SEQ-04,"[""CALL-J18"",""CALL-J19""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J20,jaundice,J20-SINGLE,"[""CALL-J20""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J21,jaundice,J21-SINGLE,"[""CALL-J21""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J22,jaundice,J22-SINGLE,"[""CALL-J22""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J23,jaundice,J23-SINGLE,"[""CALL-J23""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J24,jaundice,J24-SINGLE,"[""CALL-J24""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J25,jaundice,J-SEQ-05,"[""CALL-J25""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J26,jaundice,J-SEQ-05,"[""CALL-J25"",""CALL-J26""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J27,jaundice,J27-SINGLE,"[""CALL-J27""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J28,jaundice,J-SEQ-03,"[""CALL-J16"",""CALL-J28""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P01,palpitations,P01-SINGLE,"[""CALL-P01""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P02,palpitations,P02-SINGLE,"[""CALL-P02""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P03,palpitations,P-SEQ-01,"[""CALL-P03""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P04,palpitations,P-SEQ-01,"[""CALL-P03"",""CALL-P04""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P05,palpitations,P05-SINGLE,"[""CALL-P05""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P06,palpitations,P06-SINGLE,"[""CALL-P06""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P07,palpitations,P07-SINGLE,"[""CALL-P07""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P08,palpitations,P08-SINGLE,"[""CALL-P08""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P09,palpitations,P09-SINGLE,"[""CALL-P09""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P10,palpitations,P10-SINGLE,"[""CALL-P10""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P11,palpitations,P11-SINGLE,"[""CALL-P11""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P12,palpitations,P12-SINGLE,"[""CALL-P12""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P13,palpitations,P13-SINGLE,"[""CALL-P13""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P14,palpitations,P-SEQ-02,"[""CALL-P-SETUP-DURATION-01"",""CALL-P14""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P15,palpitations,P-SEQ-02,"[""CALL-P-SETUP-DURATION-01"",""CALL-P14"",""CALL-P15""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P16,palpitations,P-SEQ-04,"[""CALL-P16""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P17,palpitations,P17-SINGLE,"[""CALL-P17""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P18,palpitations,P-SEQ-03,"[""CALL-P18""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P19,palpitations,P-SEQ-03,"[""CALL-P18"",""CALL-P19""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P20,palpitations,P20-SINGLE,"[""CALL-P20""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P21,palpitations,P21-SINGLE,"[""CALL-P21""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P22,palpitations,P22-SINGLE,"[""CALL-P22""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P23,palpitations,P-SEQ-04,"[""CALL-P16"",""CALL-P23""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P24,palpitations,P24-SINGLE,"[""CALL-P24""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P25,palpitations,P25-SINGLE,"[""CALL-P25""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P26,palpitations,P26-SINGLE,"[""CALL-P26""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P27,palpitations,P27-SINGLE,"[""CALL-P27""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P28,palpitations,P28-SINGLE,"[""CALL-P28""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P29,palpitations,P29-STATION-01,"[""CALL-P29-U01"",""CALL-P29-U02"",""CALL-P29-U03"",""CALL-P29-U04"",""CALL-P29-U05"",""CALL-P29-U06""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
P30,palpitations,P30-SINGLE,"[""CALL-P30""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
